id,amount,type,category,date,notes,user_id
11111111-1111-4111-8111-111111111111,2500.00,income,Salary,2024-03-01,March Salary,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
22222222-2222-4222-8222-222222222222,50.00,expense,Groceries,2024-03-02,Trader Joe's,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
33333333-3333-4333-8333-333333333333,120.00,expense,Utilities,2024-03-05,Electricity Bill,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
44444444-4444-4444-8444-444444444444,300.00,income,Freelance,2024-03-10,Logo Design Project,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
55555555-5555-4555-8555-555555555555,45.50,expense,Dining,2024-03-12,Dinner with friends,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
66666666-6666-4666-8666-666666666666,60.00,expense,Transportation,2024-03-15,Gasoline,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
77777777-7777-4777-8777-777777777777,200.00,expense,Entertainment,2024-03-20,Concert Tickets,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
88888888-8888-4888-8888-888888888888,150.00,income,Dividends,2024-03-25,Stock Dividends Q1,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
99999999-9999-4999-8999-999999999999,80.25,expense,Groceries,2024-03-28,Whole Foods,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaaa,35.00,expense,Subscriptions,2024-03-30,Netflix & Spotify,356ddf1e-52d0-4c1d-adaf-e6c1ba25c91e
